,0,1
0,426483.0075001511,87731.88834366931
1,370424.3454884934,385151.0064522194
2,362486.06331040093,437801.6236079446
3,401207.12954295607,138140.53477348038
4,390372.5759108453,166292.53614956612
5,375326.26652089215,328775.69972120004
6,440115.7401991184,79760.30057713097
7,380434.6756779196,270504.8171779021
8,372733.48339058063,359491.9696681495
9,367293.7868704028,424051.1710722019
10,385641.0863760184,201364.99473782495
11,423997.39900021744,106782.21065349216
12,396926.1819226023,152681.2588706606
13,398752.55837569607,148879.88706362213
14,404518.23773076414,119062.05863222315
