,SHA_storage_af,SHA_outflow_cfs,SHA_inflow_cfs,ORO_storage_af,ORO_outflow_cfs,ORO_inflow_cfs,BUL_storage_af,BUL_outflow_cfs,BUL_inflow_cfs,FOL_storage_af,FOL_outflow_cfs,FOL_inflow_cfs,MHB_inflow_cfs,PAR_storage_af,PAR_outflow_cfs,PAR_inflow_cfs,CMN_storage_af,CMN_outflow_cfs,CMN_inflow_cfs,NHG_inflow_cfs,NHG_storage_af,NHG_outflow_cfs,NML_storage_af,NML_outflow_cfs,NML_inflow_cfs,DNP_storage_af,DNP_outflow_cfs,DNP_inflow_cfs,EXC_storage_af,EXC_outflow_cfs,EXC_inflow_cfs,MIL_storage_af,MIL_outflow_cfs,MIL_inflow_cfs,HRO_pumping_cfs,TRP_pumping_cfs,delta_outflow_cfs,CX2_CX2_km,SLF_storage_af,LUS_storage_af,total_inflow_cfs,total_reservoir_outflows_cfs,total_storage,delta_inflow_cfs,delta_gains_cfs,total_delta_pumping_cfs,HRO_pumping_pct,TRP_pumping_pct,total_delta_pumping_pct
120,3396404.5,3737.0,9454.0,2157810.5,1686.5,5198.0,648839.5,1419.5,2537.5,481951.0,2103.5,3397.5,357.0,461380.0,332.0,666.5,282340.0,332.0,530.0,170.0,155714.5,53.5,1580930.0,300.5,995.5,1551364.5,670.0,1360.5,529380.0,280.5,628.0,313819.0,576.0,1346.0,2539.0,3327.0,19341.0,70.765,780660.0,902554.0,25736.5,12473.5,13275632.0,25479.0,12596.0,5913.0,0.07618038384551984,0.09539867290329598,0.1681491150845451
121,3391955.5,3597.5,8041.0,2168530.5,1756.0,4882.0,649462.0,1402.0,2492.5,489702.5,2067.5,3146.5,329.0,461220.0,331.0,669.5,284150.0,331.0,575.0,198.5,155785.5,56.0,1583197.0,443.5,1010.5,1554547.0,561.0,1427.0,530927.5,274.5,651.5,316560.5,647.5,1071.5,2577.0,3327.0,21317.0,70.895,782407.5,908511.0,25219.5,12884.0,13306839.5,28134.0,14685.0,6037.0,0.0889335614959047,0.10432681748297826,0.19928696398507906
122,3382242.5,3866.5,7484.5,2178736.0,1883.5,4481.5,650000.5,1364.0,2177.0,489308.5,2038.0,2943.0,298.0,460935.0,332.0,575.5,284610.0,332.0,577.5,144.0,155871.5,52.0,1585314.5,196.0,953.5,1556136.0,536.5,1408.5,532109.0,282.0,632.0,316689.5,650.5,1209.5,2506.0,3160.0,19797.0,70.22999999999999,784185.0,913813.5,24103.0,11888.5,13348418.5,25851.0,10828.0,5884.0,0.08617458372378001,0.10262605042016806,0.21206660419519932
123,3402836.5,3654.5,8329.5,2190907.5,1562.5,4389.0,650920.5,1211.0,2291.0,489148.5,2194.0,3200.5,295.0,457985.0,331.5,587.5,285550.0,331.5,600.0,155.5,155929.0,47.0,1587094.5,163.0,938.5,1558251.0,465.0,1562.0,533059.0,275.5,645.0,316432.0,713.0,1283.0,2606.0,2448.0,16928.0,70.685,789262.0,920997.5,25524.0,11571.5,13421431.0,22906.0,11969.0,4664.0,0.0806643854050521,0.06729636400568759,0.14308348567946375
124,3417623.0,3647.0,9253.0,2203810.5,1477.5,4636.5,654096.0,1200.5,2440.0,488361.0,2229.5,2896.5,289.0,460460.0,332.0,570.0,285925.0,332.0,567.0,193.0,155986.0,46.5,1588019.5,321.5,1004.0,1559834.0,753.0,1248.0,533967.0,258.5,662.0,316137.0,666.5,1252.0,2572.0,2612.0,16796.0,71.86,793649.5,931559.5,25610.0,12242.5,13482824.5,20955.0,10149.0,5567.0,0.09118234119995304,0.10364703416474534,0.18879497705868148
125,3418374.0,3613.0,9480.0,2213776.0,1475.0,4593.5,654188.5,1221.0,2327.5,487775.5,2178.5,3131.5,279.0,459380.5,333.0,526.5,286930.0,333.0,474.5,166.0,156029.0,40.5,1590046.5,286.5,916.0,1561418.5,540.0,1314.0,534983.5,270.5,633.0,316081.5,702.5,1253.0,2626.0,2626.0,14269.0,71.94,799122.5,937440.0,25935.5,12245.0,13518725.5,19502.0,9673.0,5707.0,0.08911159500135547,0.10915457048645341,0.19082956555926872
126,3417506.0,3596.5,8406.5,2221217.5,1567.0,4375.5,653703.0,1248.0,2077.0,488014.0,2030.5,3424.0,269.0,458180.0,333.0,622.5,287210.0,333.0,557.5,143.5,156072.0,40.5,1591543.0,294.5,1031.5,1563013.0,431.0,1361.5,536135.0,280.0,543.5,315750.0,714.0,1332.5,2740.0,2621.0,12886.0,71.64500000000001,801920.0,942893.0,27293.0,12620.0,13511362.5,19409.0,7863.0,5958.0,0.08335719252321158,0.11506916391235157,0.19280333068992864
127,3410175.5,3599.0,8194.5,2229541.5,1733.0,5090.0,652482.0,1244.0,2285.5,488410.5,2306.5,3050.0,255.0,458120.0,333.5,618.0,288840.0,333.5,464.0,162.0,156100.5,47.0,1593142.0,439.0,965.0,1565126.0,436.5,1222.5,536318.0,277.5,612.0,316523.5,845.0,1217.0,2597.0,2396.0,13283.0,72.095,803889.0,948187.0,24670.5,12569.0,13512179.0,18413.0,7681.0,5726.0,0.09134037953398991,0.10636023516835917,0.1976284584980237
128,3403470.5,3681.0,7840.0,2237380.5,1528.0,4663.5,651626.0,1241.5,2446.5,488256.0,2237.5,3279.5,251.0,455890.5,334.0,538.5,276380.0,334.0,597.5,156.5,156129.5,47.0,1594126.0,476.0,943.0,1569360.5,465.0,1227.0,537258.0,298.5,579.0,318366.5,841.0,1204.5,2202.0,2394.0,14483.0,71.505,808830.0,952718.5,24965.5,12992.5,13522595.0,19145.0,6677.0,4596.0,0.08213639448088668,0.1128986654603031,0.20269847884976036
129,3396529.5,3695.0,8397.5,2242661.5,1631.5,4587.0,651719.0,1175.5,2263.0,510661.0,2388.0,3151.0,252.0,461670.0,333.5,538.5,290385.0,333.5,503.0,159.0,156144.0,42.5,1594570.5,356.0,1018.5,1572011.0,519.5,1273.5,538823.5,317.0,565.5,319550.0,866.5,1262.0,2970.0,2469.0,13621.0,71.655,812676.0,956434.5,25066.0,12752.5,13509286.0,18589.0,7486.0,4671.0,0.08282901525504086,0.11459408204813565,0.1981312167185773
