,FORE-SCE-A1B,FORE-SCE-A2,FORE-SCE-B1,GCAM-26,GCAM-45,GCAM-ref,LUCAS-BAU_High-0001,LUCAS-BAU_High-0002,LUCAS-BAU_High-0003,LUCAS-BAU_High-0004,LUCAS-BAU_High-0005,LUCAS-BAU_High-0006,LUCAS-BAU_High-0007,LUCAS-BAU_High-0008,LUCAS-BAU_High-0009,LUCAS-BAU_High-0010,LUCAS-BAU_Low-0001,LUCAS-BAU_Low-0002,LUCAS-BAU_Low-0003,LUCAS-BAU_Low-0004,LUCAS-BAU_Low-0005,LUCAS-BAU_Low-0006,LUCAS-BAU_Low-0007,LUCAS-BAU_Low-0008,LUCAS-BAU_Low-0009,LUCAS-BAU_Low-0010,LUCAS-BAU_Med-0001,LUCAS-BAU_Med-0002,LUCAS-BAU_Med-0003,LUCAS-BAU_Med-0004,LUCAS-BAU_Med-0005,LUCAS-BAU_Med-0006,LUCAS-BAU_Med-0007,LUCAS-BAU_Med-0008,LUCAS-BAU_Med-0009,LUCAS-BAU_Med-0010
2000-10-01,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3,365.3
2001-10-01,365.2,365.2,365.2,365.2,365.2,365.2,365.40036888542596,365.3892377097994,365.3636054233269,365.38585478782653,365.3762886433211,365.3761277094343,365.3722377099087,365.40036888542596,365.3879548222646,365.3666197082372,365.38590113271164,365.37630672291914,365.3762886433211,365.3948670006095,365.41008382587205,365.3821190166091,365.40366964284055,365.39186493852606,365.3610571336902,365.37398888449707,365.34758774826344,365.3680524951623,365.40212837832706,365.38313945288957,365.39453808773425,365.3761053857991,365.3949074887235,365.38462546003996,365.3878138353521,365.39606993048534
2002-10-01,365.2,365.2,365.2,365.2,365.2,365.2,365.6743718994272,365.6529210080676,365.6123374881744,365.6534420909428,365.6341626187254,365.62553364249254,365.6523365192781,365.6743718994272,365.63055535695145,365.6150441652756,365.6723639605941,365.61567805465694,365.6341626187254,365.66192600598754,365.6923335132441,365.66024842300243,365.6922485476213,365.66560320949293,365.6155472534335,365.6304070702951,365.57784484056634,365.60792343494757,365.68769698759246,365.6501007605335,365.6816846299936,365.66396806687885,365.67569773661734,365.6691446038111,365.65146598238806,365.6848640079471
2003-10-01,365.3,365.3,365.3,365.3,365.3,365.3,366.11910796823645,366.08151849024296,366.0343965672591,366.0838674661769,366.084615577131,366.0556869105322,366.1256875917408,366.11910796823645,366.07438267114213,366.0564210677899,366.14010257746975,366.0257502032644,366.084615577131,366.10684966449236,366.1801938485922,366.11378026963246,366.1559917763444,366.1400201557112,366.0440376630875,366.04361572882567,365.9709656557146,366.0207545309148,366.1477575343978,366.10490981722313,366.16754080265525,366.1276421836088,366.12988793456094,366.12098822829455,366.09188655195356,366.1714038956833
2004-10-01,365.3,365.3,365.3,365.3,365.3,365.3,366.5280524336296,366.51557806374757,366.4487855380871,366.4899975408072,366.5263051654157,366.4927735859391,366.6011176993786,366.5280524336296,366.5003933434048,366.4804928941436,366.61038237632454,366.424158337271,366.5263051654157,366.5301551026264,366.6346515376132,366.5631811035674,366.6060526429293,366.59560438194023,366.47984280905155,366.43173708082725,366.3780951162014,366.41435001173016,366.60377108741983,366.5371328261129,366.6494897512795,366.5642117655355,366.56070166849105,366.55062975917747,366.4900489562121,366.64093682888915
2005-10-01,365.2,365.2,365.2,365.2,365.2,365.2,366.92026100242146,366.9503527119238,366.8309938822589,366.8740905769747,366.95854917914966,366.9268853155203,367.0623148737355,366.92026100242146,366.9166862285771,366.8829478417073,367.0607347626784,366.8148874347296,366.95854917914966,366.9694482073421,367.05809783219917,367.0050926942934,367.01377893921403,367.0686756930584,366.89724534016415,366.84107483799914,366.7714346359998,366.7792016022526,367.032952603982,366.936050114111,367.1219260695667,366.9942623760151,366.9767654605406,366.96932459958714,366.86386149154936,367.1021464807151
2006-10-01,365.26658609522696,365.33269186951475,365.2406889445655,365.28980799434635,365.28980799434635,365.2900340779489,367.44197768212746,367.51762191504116,367.34941600084454,367.3902289791965,367.52317349834595,367.4870762286806,367.66788141884075,367.44197768212746,367.4402152818865,367.4090879964025,367.66323303872144,367.3368331226776,367.52317349834595,367.50864879204903,367.5883294933015,367.5492687334548,367.5335380143671,367.66361941330103,367.4472206862619,367.3800651731081,367.25679129177354,367.2733185447671,367.5819744847048,367.46665974915754,367.7134739659637,367.587563908542,367.50814674641276,367.53542592857514,367.3710887739519,367.68422092237694
2007-10-01,365.50329282247026,365.69973694468734,365.4233327303556,365.57667364499787,365.5768831499669,365.5765270815736,368.08809069331016,368.20922925749136,367.9817375095332,368.02702489364503,368.20253176137953,368.152313260327,368.43076612164765,368.08809069331016,368.10915074140974,368.0733086051159,368.4037286049573,367.98596118711566,368.20253176137953,368.1663365300359,368.23326921775407,368.23578230071934,368.2006237067155,368.37470833715463,368.12091883026494,368.04460163724815,367.8655073098354,367.9088192902514,368.27447194196264,368.13184418078947,368.4381667175025,368.31545062147603,368.1870106714465,368.2417735313852,368.00956499501086,368.4097958731872
2008-10-01,365.71030878452154,366.0998964561444,365.54976175934644,365.86123459005955,365.86403872891066,365.85952347891526,368.6954995749208,368.83823239403483,368.5356230567732,368.57555964378935,368.80036142685054,368.76257023035504,369.14477528417723,368.6954995749208,368.7265670625035,368.65957607055236,369.0743057347725,368.5381081221171,368.80036142685054,368.7526141811614,368.77879112596077,368.8372551325182,368.7662858627444,368.9920656661327,368.7166063604498,368.65508116458176,368.4266183302391,368.45679756225115,368.8438275137186,368.718462373452,369.06738366863505,368.9567297202135,368.77906946502964,368.87286329120946,368.5535893522862,369.07009776477827
2009-10-01,365.88859619060156,366.5345181766575,365.6182076291065,366.1425797133373,366.14925356293,366.14092126583444,369.2183132926375,369.39236048485566,369.0013147513003,369.0546851587123,369.3312334675715,369.2944258691145,369.7724310631229,369.2183132926375,369.27672298924045,369.19355355810063,369.653275447954,369.02099011915845,369.3312334675715,369.23803224501256,369.24812097885194,369.3675281698428,369.2344346001104,369.5334403405857,369.23698340670563,369.1625882532109,368.8981415863845,368.9346476591446,369.3435474733142,369.2199467490317,369.62370219188426,369.516694550378,369.30228780924347,369.4419398992674,369.0138451992142,369.6424534007808
